Entity,Code,Year,Annual CO? emissions (tonnes)
Afghanistan,AFG,2017,13014739.66
Africa,,2017,1331739959
Albania,ALB,2017,6379207
Algeria,DZA,2017,150551376.6
Americas (other),,2017,2398632318
Andorra,AND,2017,520183.81
Angola,AGO,2017,35389928.27
Anguilla,AIA,2017,152045.24
Antigua and Barbuda,ATG,2017,565296.4
Argentina,ARG,2017,204323434.8
Armenia,ARM,2017,5656391.74
Aruba,ABW,2017,927865.82
Asia and Pacific (other),,2017,5071156099
Australia,AUS,2017,413092654.5
Austria,AUT,2017,69941755.62
Azerbaijan,AZE,2017,38209717.67
Bahamas,BHS,2017,2564350.48
Bahrain,BHR,2017,34455693.49
Bangladesh,BGD,2017,88057460.51
Barbados,BRB,2017,1322714.99
Belarus,BLR,2017,61371792.7
Belgium,BEL,2017,100116011.9
Belize,BLZ,2017,560826.57
Benin,BEN,2017,7502064.86
Bermuda,BMU,2017,612079.55
Bhutan,BTN,2017,1166358.05
Bolivia,BOL,2017,20885176.38
Bonaire Sint Eustatius and Saba,BES,2017,343076.44
Bosnia and Herzegovina,BIH,2017,26646890.71
Botswana,BWA,2017,7874985.93
Brazil,BRA,2017,476066778.3
British Virgin Islands,VGB,2017,191031.2
Brunei,BRN,2017,10226872.63
Bulgaria,BGR,2017,49071233.14
Burkina Faso,BFA,2017,3334981.27
Burundi,BDI,2017,529139.54
Cambodia,KHM,2017,7938274.63
Cameroon,CMR,2017,7687196.41
Canada,CAN,2017,572782585.8
Cape Verde,CPV,2017,599978.31
Central African Republic,CAF,2017,310733.67
Chad,TCD,2017,728707.55
Chile,CHL,2017,84603249.72
China,CHN,2017,9838754028
Colombia,COL,2017,81226821.7
Comoros,COM,2017,189481.66
Congo,COG,2017,3409725
Cook Islands,COK,2017,82045.41
Costa Rica,CRI,2017,8695008.05
Cote d'Ivoire,CIV,2017,11724407.8
Croatia,HRV,2017,17181602.46
Cuba,CUB,2017,36504161.92
Curacao,CUW,2017,6253347.78
Cyprus,CYP,2017,7514687.44
Czech Republic,CZE,2017,107895755.7
Democratic Republic of Congo,COD,2017,4813669.88
Denmark,DNK,2017,34550121.09
Djibouti,DJI,2017,817008.26
Dominica,DMA,2017,144248.05
Dominican Republic,DOM,2017,21268776.28
EU-28,,2017,3543683484
Ecuador,ECU,2017,38797288.26
Egypt,EGY,2017,218664377.5
El Salvador,SLV,2017,6992023.78
Equatorial Guinea,GNQ,2017,6714892.14
Eritrea,ERI,2017,793048.38
Estonia,EST,2017,19809264.03
Ethiopia,ETH,2017,13396240.84
Europe (other),,2017,2149072913
Faeroe Islands,FRO,2017,672936.2
Fiji,FJI,2017,1344386.66
Finland,FIN,2017,45956044.16
France,FRA,2017,356300651.2
French Polynesia,PYF,2017,945681.27
Gabon,GAB,2017,5526426.56
Gambia,GMB,2017,622190.04
Georgia,GEO,2017,10951724.17
Germany,DEU,2017,799373210.9
Ghana,GHA,2017,16764833.13
Greece,GRC,2017,76000360.87
Greenland,GRL,2017,569725.13
Grenada,GRD,2017,276228.01
Guatemala,GTM,2017,20878046.7
Guinea,GIN,2017,2904678.09
Guinea-Bissau,GNB,2017,331331.31
Guyana,GUY,2017,2076572.3
Haiti,HTI,2017,2997931.37
Honduras,HND,2017,10669096.28
Hong Kong,HKG,2017,43032580.1
Hungary,HUN,2017,50344705.47
Iceland,ISL,2017,3480027.14
India,IND,2017,2466765373
Indonesia,IDN,2017,486843756.2
International transport,,2017,1155307739
Iran,IRN,2017,672312342.6
Iraq,IRQ,2017,194454630
Ireland,IRL,2017,39738353.97
Israel,ISR,2017,66553411.6
Italy,ITA,2017,355454172.2
Jamaica,JAM,2017,7772649.41
Japan,JPN,2017,1205061178
Jordan,JOR,2017,21356744.61
Kazakhstan,KAZ,2017,292588516.6
Kenya,KEN,2017,15818219.83
Kiribati,KIR,2017,73409.05
Kuwait,KWT,2017,104393492
Kyrgyzstan,KGZ,2017,10433128.45
Laos,LAO,2017,1957972.64
Latvia,LVA,2017,7166818.32
Lebanon,LBN,2017,19546801.4
Lesotho,LSO,2017,2823815.6
Liberia,LBR,2017,1077773.28
Libya,LBY,2017,53387412.07
Liechtenstein,LIE,2017,161253
Lithuania,LTU,2017,13393875.34
Luxembourg,LUX,2017,9294689.12
Macao,MAC,2017,1512172.78
Macedonia,MKD,2017,7251463.89
Madagascar,MDG,2017,3182061.43
Malawi,MWI,2017,1367456.58
Malaysia,MYS,2017,254575871.2
Maldives,MDV,2017,1571817.27
Mali,MLI,2017,1723818.28
Malta,MLT,2017,1444483.22
Marshall Islands,MHL,2017,120909.02
Mauritania,MRT,2017,2838703.34
Mauritius,MUS,2017,4279224.01
Mexico,MEX,2017,490294629.3
Micronesia (country),FSM,2017,177045.35
Middle East,,2017,2671942768
Moldova,MDA,2017,5093588.86
Mongolia,MNG,2017,30390656.6
Montenegro,MNE,2017,2627814.65
Montserrat,MSR,2017,50681.75
Morocco,MAR,2017,62725301.5
Mozambique,MOZ,2017,10274374.38
Myanmar,MMR,2017,25333223.99
Namibia,NAM,2017,4065256.38
Nauru,NRU,2017,56136.33
Nepal,NPL,2017,9028196.37
Netherlands,NLD,2017,164045945.5
New Caledonia,NCL,2017,5564475.22
New Zealand,NZL,2017,36013926.97
Nicaragua,NIC,2017,5422865.05
Niger,NER,2017,2485121.55
Nigeria,NGA,2017,107300894.4
Niue,NIU,2017,12954.54
North Korea,PRK,2017,58019558.34
Norway,NOR,2017,44789859.44
Oman,OMN,2017,65186378.98
Pakistan,PAK,2017,198809969
Palau,PLW,2017,306590.73
Palestine,PSE,2017,2317990.28
Panama,PAN,2017,10058951.14
Papua New Guinea,PNG,2017,7387489.1
Paraguay,PRY,2017,5850265.72
Peru,PER,2017,64781476.74
Philippines,PHL,2017,127607963.1
Poland,POL,2017,326604543.2
Portugal,PRT,2017,54863555.58
Qatar,QAT,2017,129803320.9
Romania,ROU,2017,79995524.75
Russia,RUS,2017,1692794839
Rwanda,RWA,2017,1024740.05
Saint Helena,SHN,2017,11695.79
Saint Kitts and Nevis,KNA,2017,245611.54
Saint Lucia,LCA,2017,432744.14
Saint Pierre and Miquelon,SPM,2017,81870.51
Saint Vincent and the Grenadines,VCT,2017,222219.96
Samoa,WSM,2017,233181.68
Sao Tome and Principe,STP,2017,117472.48
Saudi Arabia,SAU,2017,635011087.9
Senegal,SEN,2017,9318459.91
Serbia,SRB,2017,45092772.9
Seychelles,SYC,2017,609048.19
Sierra Leone,SLE,2017,1392486.97
Singapore,SGP,2017,64765076.29
Sint Maarten (Dutch part),SXM,2017,779719.17
Slovakia,SVK,2017,35386216.27
Slovenia,SVN,2017,14609601.22
Solomon Islands,SLB,2017,237499.86
Somalia,SOM,2017,748903.71
South Africa,ZAF,2017,456325215.5
South Korea,KOR,2017,616096686.8
South Sudan,SSD,2017,1840678.99
Spain,ESP,2017,281421987.1
Sri Lanka,LKA,2017,23138426.06
Statistical differences,,2017,256677450.8
Sudan,SDN,2017,18205851.66
Suriname,SUR,2017,2053666.75
Swaziland,SWZ,2017,1343750.9
Sweden,SWE,2017,41501525.09
Switzerland,CHE,2017,40074025.27
Syria,SYR,2017,27914485.97
Taiwan,TWN,2017,271525031.5
Tajikistan,TJK,2017,5711373.46
Tanzania,TZA,2017,14230527.46
Thailand,THA,2017,330839584
Timor,TLS,2017,552726.95
Togo,TGO,2017,2991143.87
Tonga,TON,2017,142499.92
Trinidad and Tobago,TTO,2017,40697187.01
Tunisia,TUN,2017,28134148.8
Turkey,TUR,2017,447897175.8
Turkmenistan,TKM,2017,72702485.07
Turks and Caicos Islands,TCA,2017,218321.37
Tuvalu,TUV,2017,12954.54
Uganda,UGA,2017,5782828.9
Ukraine,UKR,2017,212116257.7
United Arab Emirates,ARE,2017,231773458
